0,-3.53884e-01,6.71827e+02,9.50364e-03,1.56303e+01,1.65510e+01,1.48717e+01,1.59767e+01,1.59122e+01,1.57545e+01,1.44320e+01,1.69132e+01,1.60527e+01,1.49164e+01
200,-3.53884e-01,1.91021e+02,5.03394e-02,4.19430e+01,4.08074e+01,4.14058e+01,4.21414e+01,4.01496e+01,4.37662e+01,4.38266e+01,4.68004e+01,4.83706e+01,4.45940e+01
400,-3.53884e-01,1.15185e+02,2.48268e-01,7.44912e+01,7.26741e+01,7.62423e+01,7.82616e+01,7.61048e+01,7.36219e+01,7.71183e+01,8.43199e+01,9.03521e+01,8.00322e+01
600,-3.53884e-01,9.95537e+01,1.29632e+00,9.01646e+01,8.94931e+01,9.43197e+01,9.62954e+01,9.68539e+01,8.50045e+01,9.37546e+01,1.02039e+02,1.12458e+02,9.67494e+01
800,-3.53884e-01,9.64571e+01,7.80146e+00,9.66520e+01,9.79783e+01,1.02084e+02,1.04135e+02,1.06716e+02,8.89793e+01,1.01303e+02,1.09892e+02,1.22920e+02,1.03320e+02
1000,-3.53884e-01,9.59501e+01,4.86290e+01,9.91019e+01,1.02311e+02,1.05237e+02,1.07305e+02,1.10888e+02,9.04259e+01,1.04478e+02,1.13384e+02,1.27741e+02,1.05595e+02
1200,-3.53884e-01,9.58597e+01,1.65084e+02,9.99344e+01,1.04583e+02,1.06464e+02,1.08495e+02,1.12531e+02,9.09449e+01,1.05712e+02,1.14917e+02,1.29882e+02,1.06311e+02
1400,-3.53884e-01,9.58650e+01,1.82032e+02,1.00188e+02,1.05789e+02,1.06915e+02,1.08906e+02,1.13152e+02,9.11131e+01,1.06161e+02,1.15557e+02,1.30766e+02,1.06511e+02
1600,-3.53884e-01,9.58371e+01,1.83699e+02,1.00250e+02,1.06406e+02,1.07069e+02,1.09038e+02,1.13381e+02,9.11615e+01,1.06314e+02,1.15804e+02,1.31090e+02,1.06561e+02
1800,-3.53884e-01,9.58693e+01,1.77220e+02,1.00270e+02,1.06703e+02,1.07114e+02,1.09075e+02,1.13458e+02,9.11708e+01,1.06356e+02,1.15888e+02,1.31194e+02,1.06567e+02
2000,-3.53884e-01,9.58791e+01,1.82702e+02,1.00273e+02,1.06831e+02,1.07124e+02,1.09086e+02,1.13480e+02,9.11730e+01,1.06371e+02,1.15908e+02,1.31227e+02,1.06572e+02
2200,-3.53884e-01,9.58655e+01,1.76884e+02,1.00273e+02,1.06878e+02,1.07131e+02,1.09084e+02,1.13485e+02,9.11795e+01,1.06373e+02,1.15918e+02,1.31236e+02,1.06569e+02
2400,-3.53884e-01,9.58652e+01,1.54322e+02,1.00272e+02,1.06894e+02,1.07132e+02,1.09087e+02,1.13489e+02,9.11742e+01,1.06371e+02,1.15919e+02,1.31233e+02,1.06570e+02
2600,-3.53884e-01,9.58789e+01,1.47498e+02,1.00270e+02,1.06900e+02,1.07133e+02,1.09081e+02,1.13486e+02,9.11786e+01,1.06375e+02,1.15922e+02,1.31225e+02,1.06569e+02
2800,-3.53884e-01,9.58767e+01,1.80864e+02,1.00269e+02,1.06902e+02,1.07128e+02,1.09081e+02,1.13492e+02,9.11731e+01,1.06372e+02,1.15914e+02,1.31230e+02,1.06570e+02
3000,-3.53884e-01,9.58759e+01,1.45246e+02,1.00275e+02,1.06903e+02,1.07130e+02,1.09087e+02,1.13489e+02,9.11741e+01,1.06371e+02,1.15923e+02,1.31231e+02,1.06574e+02
3200,-3.53884e-01,9.58542e+01,1.86662e+02,1.00274e+02,1.06903e+02,1.07129e+02,1.09088e+02,1.13490e+02,9.11754e+01,1.06368e+02,1.15917e+02,1.31226e+02,1.06573e+02
3400,-3.53884e-01,9.58780e+01,1.62377e+02,1.00268e+02,1.06899e+02,1.07132e+02,1.09083e+02,1.13488e+02,9.11688e+01,1.06373e+02,1.15920e+02,1.31229e+02,1.06570e+02
3600,-3.53884e-01,9.58784e+01,1.69014e+02,1.00269e+02,1.06900e+02,1.07127e+02,1.09082e+02,1.13488e+02,9.11854e+01,1.06371e+02,1.15920e+02,1.31230e+02,1.06571e+02
3800,-3.53884e-01,9.58668e+01,1.49388e+02,1.00273e+02,1.06898e+02,1.07133e+02,1.09087e+02,1.13486e+02,9.11767e+01,1.06381e+02,1.15923e+02,1.31228e+02,1.06569e+02
4000,-3.53884e-01,9.58802e+01,1.38533e+02,1.00258e+02,1.06904e+02,1.07130e+02,1.09081e+02,1.13487e+02,9.11739e+01,1.06375e+02,1.15922e+02,1.31232e+02,1.06573e+02
4200,-3.53884e-01,9.58991e+01,1.47671e+02,1.00267e+02,1.06894e+02,1.07130e+02,1.09087e+02,1.13496e+02,9.11846e+01,1.06373e+02,1.15921e+02,1.31228e+02,1.06568e+02
4400,-3.53884e-01,9.58738e+01,1.31098e+02,1.00269e+02,1.06903e+02,1.07129e+02,1.09091e+02,1.13490e+02,9.11759e+01,1.06380e+02,1.15919e+02,1.31231e+02,1.06566e+02
4600,-3.53884e-01,9.58856e+01,1.91314e+02,1.00284e+02,1.06897e+02,1.07130e+02,1.09074e+02,1.13493e+02,9.11650e+01,1.06382e+02,1.15917e+02,1.31237e+02,1.06565e+02
4800,-3.53884e-01,9.58965e+01,1.72446e+02,1.00274e+02,1.06909e+02,1.07133e+02,1.09082e+02,1.13501e+02,9.11739e+01,1.06368e+02,1.15930e+02,1.31237e+02,1.06574e+02
5000,-3.53884e-01,9.58669e+01,2.03546e+02,1.00283e+02,1.06903e+02,1.07135e+02,1.09093e+02,1.13491e+02,9.11719e+01,1.06375e+02,1.15904e+02,1.31236e+02,1.06580e+02
